,id,type,attributes.marka,attributes.kategoria-pojazdu,attributes.typ,attributes.model,attributes.wariant,attributes.wersja,attributes.rodzaj-pojazdu,attributes.podrodzaj-pojazdu,attributes.przeznaczenie-pojazdu,attributes.pochodzenie-pojazdu,attributes.rodzaj-tabliczki-znamionowej,attributes.sposob-produkcji,attributes.rok-produkcji,attributes.data-pierwszej-rejestracji-w-kraju,attributes.data-ostatniej-rejestracji-w-kraju,attributes.data-rejestracji-za-granica,attributes.pojemnosc-skokowa-silnika,attributes.stosunek-mocy-silnika-do-masy-wlasnej-motocykle,attributes.moc-netto-silnika,attributes.moc-netto-silnika-hybrydowego,attributes.masa-wlasna,attributes.masa-pojazdu-gotowego-do-jazdy,attributes.dopuszczalna-masa-calkowita,attributes.max-masa-calkowita,attributes.dopuszczalna-ladownosc,attributes.max-ladownosc,attributes.dopuszczalna-masa-calkowita-zespolu-pojazdow,attributes.liczba-osi,attributes.dopuszczalny-nacisk-osi,attributes.maksymalny-nacisk-osi,attributes.max-masa-calkowita-przyczepy-z-hamulcem,attributes.max-masa-calkowita-przyczepy-bez-hamulca,attributes.liczba-miejsc-ogolem,attributes.liczba-miejsc-siedzacych,attributes.liczba-miejsc-stojacych,attributes.rodzaj-paliwa,attributes.rodzaj-pierwszego-paliwa-alternatywnego,attributes.rodzaj-drugiego-paliwa-alternatywnego,attributes.srednie-zuzycie-paliwa,attributes.poziom-emisji-co2,attributes.rodzaj-zawieszenia,attributes.wyposazenie-i-rodzaj-urzadzenia-radarowego,attributes.hak,attributes.kierownica-po-prawej-stronie,attributes.kierownica-po-prawej-stronie-pierwotnie,attributes.katalizator-pochlaniacz,attributes.nazwa-producenta,attributes.kod-instytutu-transaportu-samochodowego,attributes.rozstaw-kol-osi-kierowanej-pozostalych-osi,attributes.max-rozstaw-kol,attributes.avg-rozstaw-kol,attributes.min-rozstaw-kol,attributes.redukcja-emisji-spalin,attributes.data-pierwszej-rejestracji,attributes.rodzaj-kodowania-rodzaj-podrodzaj-przeznaczenie,attributes.kod-rodzaj-podrodzaj-przeznaczenie,attributes.data-wyrejestrowania-pojazdu,attributes.przyczyna-wyrejestrowania-pojazdu,attributes.data-wprowadzenia-danych,attributes.rejestracja-wojewodztwo,attributes.rejestracja-gmina,attributes.rejestracja-powiat,attributes.wlasciciel-wojewodztwo,attributes.wlasciciel-powiat,attributes.wlasciciel-gmina,attributes.wlasciciel-wojewodztwo-kod,attributes.wojewodztwo-kod,attributes.poziom-emisji-co2-paliwo-alternatywne-1,links.self
0,6137402143005856,pojazdy,MINI,13,FML2E,COOPER SE,11DJ,0AW40000,SAMOCHÓD OSOBOWY,HATCHBACK,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2021,FABRYCZNY,2021-12-09,2021-12-09,,,,,,1365,1440.0,1775.0,1775.0,,,,2.0,10.0,10.0,,,4.0,4.0,,ENERGIA ELEKTRYCZNA,,,,,,1282,False,,False,False,BAYERISCHE MOTOREN WERKE AG,009970001002234,,1493.0,1488.0,1484.0,,2021-12-09,1,0302000,,,,LUBELSKIE,LUBLIN,LUBLIN,,,,,06,,https://api.cepik.gov.pl/pojazdy/6137402143005856
1,8431900399391881,pojazdy,NISSAN,0,---,LEAF 24KWH,---,---,SAMOCHÓD OSOBOWY,HATCHBACK,---,UŻYW. ZAKUPIONY W KRAJU,ORYGINALNA,2016,FABRYCZNY,2021-10-15,2021-11-10,2016-08-02,,,,,1505,,1945.0,1945.0,,,,2.0,10.0,10.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,,False,,False,False,,002640144900003,,,,,,2016-08-02,9,03,,,,LUBELSKIE,ZAMOŚĆ,ZAMOŚĆ,,,,,06,,https://api.cepik.gov.pl/pojazdy/8431900399391881
2,8082387601832101,pojazdy,,4,MDSN02,TRES,MD20A,MDSNA,MOTOROWER,---,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2021,FABRYCZNY,2021-05-07,2021-05-07,,,,,,77,,211.0,,,,,2.0,1.0,1.0,,,1.0,1.0,,ENERGIA ELEKTRYCZNA,,,,,,,False,,False,False,,092530003000002,,,,,,2021-05-07,1,0100000,,,,LUBELSKIE,PARCZEW,PARCZEWSKI,,,,,06,,https://api.cepik.gov.pl/pojazdy/8082387601832101
3,8042120562453160,pojazdy,CITROEN,11111111,---,C-ZERO,---,---,SAMOCHÓD OSOBOWY,HATCHBACK,---,UŻYW. ZAKUPIONY W KRAJU,ORYGINALNA,2016,FABRYCZNY,2021-10-04,2022-03-17,2016-11-30,,,35.0,,1140,,1450.0,1450.0,,,,2.0,8.0,8.0,,,4.0,4.0,,ENERGIA ELEKTRYCZNA,,,,,,,False,,False,False,,002350094000000,,,,,,2016-11-30,9,03,,,,LUBELSKIE,KRASNYSTAW,KRASNOSTAWSKI,,,,,06,,https://api.cepik.gov.pl/pojazdy/8042120562453160
4,8566285200273791,pojazdy,ANAIG,4,ANJ2000DZK,BRISK,01,00,MOTOROWER,---,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2020,FABRYCZNY,2021-11-16,2021-11-16,,,,,,270,270.0,502.0,,,,,2.0,3.0,3.0,,,2.0,2.0,,ENERGIA ELEKTRYCZNA,,,,,,,False,,False,False,,077420004000001,,,,,,2021-11-16,1,0100000,,,,LUBELSKIE,TOMASZÓW LUBELSKI,TOMASZOWSKI,,,,,06,,https://api.cepik.gov.pl/pojazdy/8566285200273791
5,2521843096498098,pojazdy,,4,MDSN02,TRES,MD20A,MDSNA,MOTOROWER,---,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2021,FABRYCZNY,2021-06-10,2021-06-10,,,,,,77,,211.0,,,,,2.0,1.0,1.0,,,1.0,1.0,,ENERGIA ELEKTRYCZNA,,,,,,,False,,False,False,,092530003000002,,,,,,2021-06-10,1,0100000,,,,LUBELSKIE,ŁUKÓW,ŁUKOWSKI,,,,,06,,https://api.cepik.gov.pl/pojazdy/2521843096498098
6,7027916331542464,pojazdy,,4,MDSN02,TRES,MD25A,MDSNA,MOTOROWER,---,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2021,FABRYCZNY,2021-07-16,2021-07-16,,,,,,77,,211.0,,,,,2.0,1.0,1.0,,,1.0,1.0,,ENERGIA ELEKTRYCZNA,,,,,,,False,,False,False,,092530003000003,,,,,,2021-07-16,1,0100000,,,,LUBELSKIE,PUŁAWY,PUŁAWSKI,,,,,06,,https://api.cepik.gov.pl/pojazdy/7027916331542464
7,1109825088202351,pojazdy,NISSAN,11111111,---,E-NV200,---,---,SAMOCHÓD CIĘŻAROWY,VAN,---,UŻYW. IMPORT INDYW,ORYGINALNA,2015,FABRYCZNY,2021-12-28,2022-03-14,2015-08-05,,,80.0,,1555,,2250.0,2250.0,579.0,579.0,2250.0,2.0,12.0,12.0,695.0,695.0,2.0,2.0,,ENERGIA ELEKTRYCZNA,,,,,,,False,,False,False,NISSAN INTERNATIONAL S.A.,002640161000000,,,,,,2015-08-05,9,06,,,,LUBELSKIE,TOMASZÓW LUBELSKI,TOMASZOWSKI,,,,,06,,https://api.cepik.gov.pl/pojazdy/1109825088202351
8,345767887258536,pojazdy,MERCEDES-BENZ,13,639/2,EQV,KLE45350NXX,2EDE0XX7XXXX,SAMOCHÓD OSOBOWY,KOMBI,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2021,FABRYCZNY,2021-03-02,2021-03-02,,,,,,2947,,3500.0,3500.0,,,,2.0,18.0,18.0,,,7.0,7.0,,ENERGIA ELEKTRYCZNA,,,,,,,False,,False,False,,003472637000005,,,,,,2021-03-02,1,0303000,,,,LUBELSKIE,LUBLIN,LUBLIN,,,,,06,,https://api.cepik.gov.pl/pojazdy/345767887258536
9,5135207815161105,pojazdy,TESLA,13,003,MODEL Y,Y5CD,BZB3S5T3,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2021,FABRYCZNY,2021-08-31,2021-08-31,,,,378.0,,1981,,2371.0,2371.0,,,3971.0,2.0,15.0,15.0,1600.0,750.0,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,1282,False,,False,False,,059690008000001,,1636.0,1636.0,1636.0,,2021-08-31,1,0306000,,,,LUBELSKIE,BIAŁA PODLASKA,BIAŁA PODLASKA,,,,,06,,https://api.cepik.gov.pl/pojazdy/5135207815161105
